Company Name,Website,Main Phone,Main Email,HQ Address,Services,Specialties,Leadership Count,Pages Scraped,Scraped At,Errors
JLL Columbus,https://www.us.jll.com/en/locations/midwest/columbus,,,,Brokerage; Capital Markets; Development; Leasing; Project Management; Property Management; Research; Tenant Representation,Data Center; Flex; Hotel; Land; Manufacturing; Office; Retail,0,4,2025-12-22T23:23:13.825682,
Cushman & Wakefield Columbus,https://www.cushmanwakefield.com/en/united-states/offices/columbus,(952) 544-1117,,,Advisory; Capital Markets; Development; Leasing; Occupier Services; Property Management; Research; Tenant Representation; Valuation,Apartment; Data Center; Flex; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:23:23.964628,
Avison Young Columbus,https://www.avisonyoung.us/web/columbus,,,200 Portland Street,Advisory; Asset Management; Brokerage; Capital Markets; Construction Management; Consulting; Development; Facility Management; Investment Sales; Landlord Representation; Leasing; Occupier Services; Project Management; Property Management; Research; Tenant Representation; Valuation,Data Center; Flex; Healthcare; Hospitality; Industrial; Land; Life Science; Mixed-Use; Multifamily; Net Lease; Office; Retail; Self-Storage; Senior Housing; Warehouse,0,4,2025-12-22T23:23:38.959191,
Marcus & Millichap Columbus,https://www.marcusmillichap.com/about-us/offices/columbus-ohio,(614) 360-9810,grant.fitzgerald@marcusmillichap.com,1031 Exchange,Advisory; Brokerage; Capital Markets; Consulting; Development; Investment Sales; Research,Apartment; Flex; Hospitality; Industrial; Land; Medical; Mixed-Use; Multifamily; Net Lease; Office; Retail; Self-Storage; Senior Housing,0,4,2025-12-22T23:23:49.053329,
Newmark Columbus,https://www.nmrk.com/offices/columbus,(614) 883-1200,,2025 Newmark | All rights reserved.,Advisory; Appraisal; Brokerage; Capital Markets; Consulting; Investment Sales; Leasing; Project Management; Property Management; Tenant Representation; Valuation,Data Center; Healthcare; Hospitality; Industrial; Land; Life Science; Multifamily; Office; Retail; Student Housing,0,4,2025-12-22T23:23:59.953374,
Lee & Associates Columbus,https://www.lee-associates.com/columbus,,,,Advisory; Brokerage; Construction Management; Development; Leasing; Project Management; Property Management; Research,Data Center; Healthcare; Industrial; Land; Multifamily; Office; Retail; Senior Housing,0,4,2025-12-22T23:24:09.231294,
NAI Ohio Equities,https://www.ohioequities.com,(614) 224-2400,,,Advisory; Brokerage; Consulting; Landlord Representation; Leasing; Property Management; Valuation,Industrial; Land; Medical; Multifamily; Office; Retail,0,4,2025-12-22T23:24:22.461977,
Best Corporate Real Estate,https://www.bestcorporaterealestate.com,(614) 559-3390,,4608 Sawmill Road,Brokerage; Development; Leasing; Property Management,Industrial; Land; Office; Retail; Warehouse,0,4,2025-12-22T23:24:31.236187,
The Robert Weiler Company,https://rweiler.com,(614) 221-4286,info@rweiler.com,"10 N High St. Columbus, OH 43215",Appraisal; Brokerage; Consulting; Development; Investment Sales; Leasing; Property Management; Research; Valuation,Apartment; Industrial; Land; Mixed-Use; Multifamily; Office; Retail; Warehouse,0,4,2025-12-22T23:24:39.750205,
KRG Real Estate,https://krgre.com,(614) 228-5547,rent@krgre.com,"1480 Dublin RoadColumbus, OH 43215614-228-5547FAX: 614-228-6980marketing@krgre.com",Appraisal; Brokerage; Consulting; Development; Leasing,Apartment; Flex; Industrial; Land; Medical; Office; Retail,0,4,2025-12-22T23:24:49.615822,
DRK & Company Realty,https://drk-realty.com,(614) 540-2404,,"470 Olde Worthington Road, Suite 101 Westerville, OH 43082",Brokerage; Development; Leasing; Property Management; Tenant Representation,Industrial; Land; Medical; Office; Retail,0,4,2025-12-22T23:25:01.231296,
Hanna Commercial Pittsburgh,https://hannacre.com,,,,Advisory; Brokerage; Corporate Services; Development; Investment Sales; Occupier Services; Property Management; Research; Tenant Representation; Valuation,Hospitality; Industrial; Land; Multifamily; Office; Retail; Warehouse,0,4,2025-12-22T23:31:27.819403,
Equity Commercial Real Estate,https://equity.net,(937) 291-1179,info@equity.net,,Asset Management; Brokerage; Development; Investment Sales; Leasing; Project Management; Property Management,Flex; Healthcare; Hotel; Industrial; Land; Medical; Mixed-Use; Office; Retail,0,4,2025-12-22T23:25:19.261450,
